FileName,GraphSize,EdgeDensity,CanTwoColored,Method,Success,VisitedStates,Duration(ms)
training_data_42_success.json,10,0.511111,No,NeuralHeuristic_ALL,No,53524,840254
training_data_43_success.json,9,0.583333,No,NeuralHeuristic_ALL,Yes,204,6872
training_data_33_success.json,5,0.6,No,NeuralHeuristic_ALL,Yes,51,2414
training_data_69_success.json,7,0.52381,No,MCTS,Yes,111461,335456
training_data_45_success.json,10,0.533333,No,MCTS,Yes,110758,600833
training_data_21_success.json,10,0.311111,No,MCTS,Yes,126800,457939
training_data_96_success.json,8,0.464286,No,MCTS,Yes,122764,395229
training_data_71_success.json,6,0.733333,No,MCTS,Yes,143122,445750
training_data_46_success.json,8,0.714286,No,MCTS,Yes,135380,550763
training_data_70_success.json,10,0.488889,No,MCTS,Yes,82012,292862
training_data_18_success.json,10,0.266667,No,MCTS,Yes,109285,395286
training_data_79_success.json,8,0.5,No,MCTS,Yes,95770,344939
training_data_12_success.json,8,0.678571,No,MCTS,Yes,111307,447713
training_data_55_success.json,9,0.611111,No,MCTS,Yes,106899,447549
training_data_6_success.json,9,0.472222,No,MCTS,Yes,93881,397338
training_data_0_success.json,9,0.611111,No,MCTS,Yes,97467,343315
training_data_31_success.json,7,0.571429,No,MCTS,Yes,117636,343561
training_data_19_success.json,7,0.619048,No,MCTS,Yes,112105,339744
training_data_32_success.json,9,0.361111,No,MCTS,Yes,116034,500795
training_data_20_success.json,7,0.47619,No,MCTS,Yes,137226,392046
training_data_22_success.json,8,0.285714,No,MCTS,Yes,123383,352084
training_data_40_success.json,9,0.472222,No,MCTS,Yes,128193,551182
training_data_28_success.json,9,0.694444,No,MCTS,Yes,106530,343316
training_data_30_success.json,8,0.357143,No,MCTS,Yes,113262,353994
training_data_44_success.json,10,0.6,No,MCTS,Yes,106604,445469
training_data_68_success.json,8,0.357143,No,MCTS,Yes,128749,494075
training_data_66_success.json,10,0.333333,No,MCTS,Yes,125897,498157
training_data_85_success.json,9,0.388889,No,MCTS,No,69016,260678
training_data_47_success.json,6,0.6,No,MCTS,Yes,113906,343382
training_data_54_success.json,9,0.555556,No,MCTS,Yes,117521,445270
training_data_77_success.json,8,0.428571,No,MCTS,Yes,111079,395765
training_data_78_success.json,8,0.321429,No,MCTS,Yes,114522,353455
training_data_67_success.json,8,0.571429,No,MCTS,Yes,129583,548543
training_data_29_success.json,7,0.666667,No,MCTS,Yes,122105,395411
training_data_39_success.json,3,1,No,MCTS,Yes,103979,291563
training_data_53_success.json,5,0.5,No,MCTS,Yes,117313,342354
training_data_41_success.json,4,0.666667,No,MCTS,Yes,132029,351773
training_data_42_success.json,10,0.511111,No,MCTS,Yes,106800,447668
training_data_43_success.json,9,0.583333,No,MCTS,Yes,114655,448112
training_data_33_success.json,5,0.6,No,MCTS,Yes,121270,342756
training_data_69_success.json,7,0.52381,No,DFS,No,80000,150203
training_data_45_success.json,10,0.533333,No,DFS,No,80000,310160
training_data_21_success.json,10,0.311111,No,DFS,No,80000,202453
training_data_96_success.json,8,0.464286,No,DFS,No,80000,201886
training_data_71_success.json,6,0.733333,No,DFS,No,80000,154754
training_data_46_success.json,8,0.714286,No,DFS,No,80000,215808
training_data_70_success.json,10,0.488889,No,DFS,No,80000,289632
training_data_18_success.json,10,0.266667,No,DFS,No,80000,313032
training_data_79_success.json,8,0.5,No,DFS,No,80000,190064
training_data_12_success.json,8,0.678571,No,DFS,Yes,54,44
training_data_55_success.json,9,0.611111,No,DFS,Yes,33,21
training_data_6_success.json,9,0.472222,No,DFS,Yes,34,19
training_data_0_success.json,9,0.611111,No,DFS,No,80000,258290
training_data_31_success.json,7,0.571429,No,DFS,No,80000,154607
training_data_19_success.json,7,0.619048,No,DFS,Yes,47,31
training_data_32_success.json,9,0.361111,No,DFS,No,80000,248796
training_data_20_success.json,7,0.47619,No,DFS,Yes,40,24
training_data_22_success.json,8,0.285714,No,DFS,No,80000,162294
training_data_40_success.json,9,0.472222,No,DFS,Yes,48,36
training_data_28_success.json,9,0.694444,No,DFS,Yes,47,36
training_data_30_success.json,8,0.357143,No,DFS,No,80000,172345
training_data_44_success.json,10,0.6,No,DFS,Yes,33,24
training_data_68_success.json,8,0.357143,No,DFS,No,80000,204475
training_data_66_success.json,10,0.333333,No,DFS,No,80000,193765
training_data_85_success.json,9,0.388889,No,DFS,No,80000,210304
training_data_47_success.json,6,0.6,No,DFS,No,80000,133760
training_data_54_success.json,9,0.555556,No,DFS,Yes,33,20
training_data_77_success.json,8,0.428571,No,DFS,No,80000,159550
training_data_78_success.json,8,0.321429,No,DFS,No,80000,134826
training_data_67_success.json,8,0.571429,No,DFS,No,80000,203467
training_data_29_success.json,7,0.666667,No,DFS,Yes,40,23
training_data_39_success.json,3,1,No,DFS,Yes,41,18
training_data_53_success.json,5,0.5,No,DFS,No,80000,137394
training_data_41_success.json,4,0.666667,No,DFS,Yes,41,18
training_data_42_success.json,10,0.511111,No,DFS,Yes,33,19
training_data_43_success.json,9,0.583333,No,DFS,Yes,40,25
training_data_33_success.json,5,0.6,No,DFS,No,80000,115101

